      10000	 0.003	 0.001	 0.002	 0.000
      20000	 0.013	 0.003	 0.006	 0.002
      30000	 0.012	 0.003	 0.005	 0.002
      40000	 0.013	 0.002	 0.009	 0.003
      50000	 0.018	 0.008	 0.009	 0.003
      60000	 0.026	 0.008	 0.010	 0.003
      70000	 0.026	 0.005	 0.015	 0.004
      80000	 0.031	 0.008	 0.016	 0.004
      90000	 0.028	 0.011	 0.017	 0.005
     100000	 0.047	 0.008	 0.018	 0.006
     110000	 0.046	 0.011	 0.019	 0.006
     120000	 0.040	 0.012	 0.020	 0.007
     130000	 0.074	 0.009	 0.021	 0.008
     140000	 0.069	 0.010	 0.031	 0.008
     150000	 0.059	 0.010	 0.032	 0.010
     160000	 0.059	 0.013	 0.032	 0.009
     170000	 0.062	 0.012	 0.033	 0.009
     180000	 0.066	 0.013	 0.036	 0.010
     190000	 0.080	 0.015	 0.035	 0.011
     200000	 0.066	 0.017	 0.037	 0.012
     210000	 0.076	 0.019	 0.038	 0.016
     220000	 0.078	 0.027	 0.038	 0.014
     230000	 0.085	 0.022	 0.039	 0.014
     240000	 0.092	 0.022	 0.040	 0.016
     250000	 0.099	 0.025	 0.042	 0.019
     260000	 0.128	 0.030	 0.043	 0.016
     270000	 0.124	 0.026	 0.065	 0.017
     280000	 0.126	 0.032	 0.062	 0.022
     290000	 0.122	 0.031	 0.063	 0.017
     300000	 0.127	 0.031	 0.071	 0.017
     310000	 0.127	 0.029	 0.065	 0.018
     320000	 0.143	 0.035	 0.069	 0.021
     330000	 0.147	 0.039	 0.071	 0.038
     340000	 0.140	 0.035	 0.071	 0.022
     350000	 0.143	 0.037	 0.069	 0.023
     360000	 0.154	 0.040	 0.082	 0.024
     370000	 0.163	 0.044	 0.074	 0.031
     380000	 0.154	 0.041	 0.077	 0.025
     390000	 0.164	 0.045	 0.079	 0.026
     400000	 0.155	 0.048	 0.081	 0.026
     410000	 0.169	 0.050	 0.082	 0.027
     420000	 0.171	 0.050	 0.080	 0.029
     430000	 0.180	 0.050	 0.083	 0.030
     440000	 0.176	 0.050	 0.080	 0.032
     450000	 0.178	 0.057	 0.083	 0.039
     460000	 0.184	 0.065	 0.091	 0.034
     470000	 0.182	 0.061	 0.090	 0.040
     480000	 0.190	 0.058	 0.085	 0.053
     490000	 0.186	 0.064	 0.088	 0.040
     500000	 0.191	 0.067	 0.092	 0.037
     510000	 0.195	 0.075	 0.103	 0.040
     520000	 0.203	 0.070	 0.097	 0.052
     530000	 0.259	 0.071	 0.136	 0.052
     540000	 0.275	 0.068	 0.139	 0.046
     550000	 0.276	 0.069	 0.142	 0.055
     560000	 0.281	 0.067	 0.143	 0.065
     570000	 0.288	 0.071	 0.143	 0.051
     580000	 0.278	 0.081	 0.147	 0.059
     590000	 0.290	 0.077	 0.143	 0.061
     600000	 0.322	 0.074	 0.153	 0.060
     610000	 0.304	 0.077	 0.158	 0.076
     620000	 0.296	 0.080	 0.152	 0.061
     630000	 0.299	 0.088	 0.147	 0.060
     640000	 0.316	 0.083	 0.156	 0.079
     650000	 0.303	 0.085	 0.168	 0.084
     660000	 0.306	 0.094	 0.153	 0.071
     670000	 0.311	 0.088	 0.162	 0.069
     680000	 0.331	 0.090	 0.163	 0.066
     690000	 0.317	 0.093	 0.161	 0.065
     700000	 0.319	 0.094	 0.182	 0.077
     710000	 0.318	 0.099	 0.166	 0.087
     720000	 0.329	 0.104	 0.172	 0.079
     730000	 0.343	 0.099	 0.169	 0.086
     740000	 0.336	 0.099	 0.180	 0.103
     750000	 0.342	 0.102	 0.174	 0.082
     760000	 0.354	 0.106	 0.177	 0.086
     770000	 0.350	 0.118	 0.179	 0.083
     780000	 0.360	 0.107	 0.196	 0.089
     790000	 0.345	 0.108	 0.190	 0.089
     800000	 0.347	 0.111	 0.185	 0.100
     810000	 0.366	 0.115	 0.176	 0.103
     820000	 0.364	 0.124	 0.189	 0.097
     830000	 0.364	 0.118	 0.193	 0.098
     840000	 0.364	 0.119	 0.201	 0.103
     850000	 0.369	 0.131	 0.190	 0.100
     860000	 0.388	 0.121	 0.191	 0.101
     870000	 0.385	 0.134	 0.203	 0.127
     880000	 0.382	 0.128	 0.198	 0.121
     890000	 0.378	 0.130	 0.201	 0.113
     900000	 0.387	 0.145	 0.217	 0.111
     910000	 0.402	 0.138	 0.210	 0.113
     920000	 0.395	 0.135	 0.209	 0.110
     930000	 0.396	 0.141	 0.204	 0.109
     940000	 0.395	 0.143	 0.209	 0.113
     950000	 0.420	 0.143	 0.215	 0.118
     960000	 0.417	 0.144	 0.212	 0.123
     970000	 0.415	 0.144	 0.225	 0.125
     980000	 0.422	 0.153	 0.228	 0.130
     990000	 0.428	 0.156	 0.224	 0.121
