      10000	      10000	      10000	   1330013	   7587892	   2205773	  20705949
      20000	      19999	      19999	   1942434	  10105935	   4221628	  19492987
      30000	      29999	      29999	   2381611	  15826666	   5904269	  14488932
      40000	      39999	      39999	   1864025	   6295289	   4991045	  19625131
      50000	      49999	      49999	   2360234	  13974264	   5684741	  17878923
      60000	      59999	      59999	   2722609	   6845456	   5330649	  17326378
      70000	      69999	      69999	   2418782	  15690219	   4647623	  19496294
      80000	      79998	      79998	   3317634	  10825969	   4579725	  18567094
      90000	      89995	      89995	   2361691	   7816286	   4995275	  18278903
     100000	      99995	      99995	   3619623	   7949880	   4415788	  17149502
     110000	     109994	     109994	   2874656	   9044120	   5634948	  16601463
     120000	     119994	     119994	   2874953	  12657029	   6028080	  13678219
     130000	     129993	     129993	   2468319	  15807135	   5803908	  16481363
     140000	     139993	     139993	   2318332	  13833296	   4351629	  18427541
     150000	     149993	     149993	   2386980	  12197399	   4722393	  18860323
     160000	     159991	     159991	   2216043	  13781428	   4194103	  11634107
     170000	     169991	     169991	   2893449	  10447810	   4979961	  17571799
     180000	     179990	     179990	   2349549	  12682728	   4959038	  15286587
     190000	     189990	     189990	   2594570	   8648133	   5001054	  16791817
     200000	     199990	     199990	   2837206	   9350208	   5324392	  17182988
     210000	     209990	     209990	   2497882	  12109462	   4705982	  16170920
     220000	     219987	     219987	   2905525	  11285104	   4869642	  14592000
     230000	     229984	     229984	   2506253	  10937596	   5594561	  14158204
     240000	     239981	     239981	   2904897	  10477445	   5733691	  14521598
     250000	     249980	     249980	   2654953	  10829502	   5539915	  15208642
     260000	     259978	     259978	   2227912	   8823955	   5872114	  16082686
     270000	     269977	     269977	   2165325	  10818079	   4065465	  15982491
     280000	     279975	     279975	   2199953	   9590178	   4245299	  13233240
     290000	     289974	     289974	   2265847	   9173540	   4435914	  12330800
     300000	     299971	     299971	   2073540	   9345678	   3602030	  13592430
     310000	     309971	     309971	   2272278	  10232899	   4353629	  16721311
     320000	     319968	     319968	   2332933	   9551154	   4378236	  15562823
     330000	     329965	     329965	   2379168	   8514353	   4142959	  12077490
     340000	     339967	     339967	   2367070	   9450387	   4573585	  16457565
     350000	     349967	     349967	   2478351	   9028152	   4896351	  15084069
     360000	     359964	     359964	   2457155	   7836968	   4544019	  14816423
     370000	     369964	     369964	   2258023	   7442940	   4605787	  13064479
     380000	     379963	     379963	   2351269	   7494595	   4585473	   9812577
     390000	     389965	     389965	   2393636	   8226276	   4856136	  13760616
     400000	     399963	     399963	   2488602	   8307802	   4865993	  11892071
     410000	     409960	     409960	   2434305	   8071613	   4523491	  14515637
     420000	     419975	     419975	   2556371	   7840886	   4877532	  14291232
     430000	     429972	     429972	   2435778	   8659281	   5031901	  14805006
     440000	     439958	     439958	   2326556	   7475677	   5270730	  10872106
     450000	     449954	     449954	   2497107	   7021739	   5153361	  14659360
     460000	     459940	     459940	   2331526	   7836447	   4898432	  13156762
     470000	     469937	     469937	   2401435	   7663804	   5430374	  10210379
     480000	     479946	     479946	   2539419	   8114502	   5200189	  11573124
     490000	     489943	     489943	   2633737	   7551333	   5273728	  13049068
     500000	     499941	     499941	   2581339	   7360247	   5101595	  13429745
     510000	     509940	     509940	   2337186	   6577117	   5033087	  11719830
     520000	     519937	     519937	   2385360	   7242621	   5134373	  11633241
     530000	     529936	     529936	   1913224	   7759320	   3530629	   8953692
     540000	     539944	     539944	   1964435	   7923445	   3607837	   9763126
     550000	     549929	     549929	   1925704	   7800643	   3663018	   7801290
     560000	     559928	     559928	   1949216	   7210274	   3467089	   9301271
     570000	     569919	     569919	   1886617	   7828592	   3780349	  11650951
     580000	     579925	     579925	   1976402	   7949064	   3973551	  11306939
     590000	     589923	     589923	   1993897	   7924604	   3772241	   9724383
     600000	     599905	     599905	   2044647	   7917273	   3746242	   8189827
