      10000	 0.006	 0.002
      20000	 0.009	 0.006
      30000	 0.009	 0.006
      40000	 0.018	 0.010
      50000	 0.022	 0.011
      60000	 0.019	 0.014
      70000	 0.025	 0.018
      80000	 0.040	 0.021
      90000	 0.032	 0.023
     100000	 0.049	 0.024
     110000	 0.049	 0.025
     120000	 0.050	 0.026
     130000	 0.072	 0.033
     140000	 0.069	 0.039
     150000	 0.068	 0.042
     160000	 0.067	 0.044
     170000	 0.080	 0.043
     180000	 0.077	 0.047
     190000	 0.088	 0.048
     200000	 0.089	 0.051
     210000	 0.093	 0.052
     220000	 0.085	 0.057
     230000	 0.091	 0.059
     240000	 0.093	 0.058
     250000	 0.097	 0.066
     260000	 0.126	 0.067
     270000	 0.132	 0.085
     280000	 0.132	 0.088
     290000	 0.152	 0.096
     300000	 0.138	 0.095
     310000	 0.140	 0.097
     320000	 0.147	 0.100
     330000	 0.154	 0.106
     340000	 0.168	 0.105
     350000	 0.160	 0.108
     360000	 0.165	 0.111
     370000	 0.171	 0.115
     380000	 0.169	 0.123
     390000	 0.173	 0.120
     400000	 0.187	 0.119
     410000	 0.194	 0.123
     420000	 0.203	 0.132
     430000	 0.199	 0.127
     440000	 0.203	 0.135
     450000	 0.213	 0.150
     460000	 0.203	 0.140
     470000	 0.214	 0.143
     480000	 0.219	 0.145
     490000	 0.208	 0.153
     500000	 0.216	 0.161
     510000	 0.235	 0.163
     520000	 0.224	 0.155
     530000	 0.286	 0.202
     540000	 0.285	 0.224
     550000	 0.289	 0.207
     560000	 0.297	 0.225
     570000	 0.309	 0.221
     580000	 0.328	 0.229
     590000	 0.318	 0.235
     600000	 0.312	 0.232
     610000	 0.331	 0.240
     620000	 0.320	 0.239
     630000	 0.338	 0.236
     640000	 0.335	 0.259
     650000	 0.328	 0.247
     660000	 0.361	 0.261
     670000	 0.356	 0.265
     680000	 0.343	 0.267
     690000	 0.361	 0.271
     700000	 0.354	 0.276
     710000	 0.352	 0.281
     720000	 0.357	 0.281
     730000	 0.382	 0.280
     740000	 0.369	 0.296
     750000	 0.369	 0.288
     760000	 0.388	 0.294
     770000	 0.377	 0.301
     780000	 0.396	 0.312
     790000	 0.382	 0.315
     800000	 0.395	 0.328
     810000	 0.400	 0.323
     820000	 0.403	 0.326
     830000	 0.405	 0.322
     840000	 0.401	 0.329
     850000	 0.422	 0.349
     860000	 0.426	 0.323
     870000	 0.420	 0.342
     880000	 0.438	 0.339
     890000	 0.426	 0.345
     900000	 0.442	 0.357
     910000	 0.442	 0.365
     920000	 0.454	 0.362
     930000	 0.447	 0.367
     940000	 0.449	 0.374
     950000	 0.465	 0.368
     960000	 0.542	 0.379
     970000	 0.460	 0.377
     980000	 0.479	 0.388
     990000	 0.484	 0.419
